site_id,nzsegment_source,nzsegment,indicator,conc_perc,duration,power
WPC-3,11015025,11015134,NO,72,10,80
RVS-1,11012695,11013044,DRP,6,10,80
WPC-3,11015025,11015134,DRP,41,10,80
RIM-2,11012784,11012820,DRP,40,10,80
PLRT-7,11014597,11014597,DRP,43,10,80
KTRT-1,11015997,11015997,DRP,47,10,80
LBS-2,11014404,11014688,DRP,33,10,80
RVS-1,11012695,11013044,EC,92,10,80
WPC-3,11015025,11015134,EC,94,10,80
RIM-2,11012784,11012820,EC,5,10,80
PLRT-7,11014597,11014597,EC,61,10,80
KTRT-1,11015997,11015997,EC,89,10,80
LBS-2,11014404,11014688,EC,70,10,80
